Start time: 2011-4-1 16:02:07
Channels:1
Time [ms],Y1 label
15473,170.000,0.000
15474,170.000,0.000
15475,171.000,0.000
15476,172.000,0.000
15477,173.000,0.000
15478,172.000,0.000
15479,171.000,0.000
15480,171.000,0.000
15481,170.000,0.000
15482,170.000,0.000
15483,170.000,0.000
15484,172.000,0.000
15485,172.000,0.000
15486,172.000,0.000
15487,172.000,0.000
15488,171.000,0.000
15489,170.000,0.000
15490,170.000,0.000
15491,170.000,0.000
15492,171.000,0.000
15493,172.000,0.000
15494,173.000,0.000
15495,172.000,0.000
15496,172.000,0.000
15497,171.000,0.000
15498,171.000,0.000
15499,170.000,0.000
15500,171.000,0.000
15501,172.000,0.000
15502,173.000,0.000
15503,172.000,0.000
15504,172.000,0.000
15505,171.000,0.000
15506,171.000,0.000
15507,170.000,0.000
15508,170.000,0.000
15509,171.000,0.000
15510,172.000,0.000
15511,172.000,0.000
15512,172.000,0.000
15513,172.000,0.000
15514,171.000,0.000
15515,170.000,0.000
15516,170.000,0.000
15517,171.000,0.000
15518,172.000,0.000
15519,172.000,0.000
15520,172.000,0.000
15521,172.000,0.000
15522,171.000,0.000
15523,170.000,0.000
15524,170.000,0.000
15525,170.000,0.000
15526,171.000,0.000
15527,172.000,0.000
15528,172.000,0.000
15529,173.000,0.000
15530,172.000,0.000
15531,171.000,0.000
15532,170.000,0.000
15533,171.000,0.000
15534,171.000,0.000
15535,171.000,0.000
15536,172.000,0.000
15537,173.000,0.000
15538,172.000,0.000
15539,171.000,0.000
15540,170.000,0.000
15541,170.000,0.000
15542,170.000,0.000
15543,171.000,0.000
15544,172.000,0.000
15545,173.000,0.000
15546,173.000,0.000
15547,172.000,0.000
15548,171.000,0.000
15549,171.000,0.000
15550,171.000,0.000
15551,171.000,0.000
15552,172.000,0.000
15553,173.000,0.000
15554,173.000,0.000
15555,172.000,0.000
15556,172.000,0.000
15557,171.000,0.000
15558,171.000,0.000
15559,170.000,0.000
15560,171.000,0.000
15561,172.000,0.000
15562,173.000,0.000
15563,172.000,0.000
15564,172.000,0.000
15565,171.000,0.000
15566,171.000,0.000
15567,170.000,0.000
15568,171.000,0.000
15569,172.000,0.000
15570,173.000,0.000
15571,173.000,0.000
15572,173.000,0.000
15573,172.000,0.000
15574,171.000,0.000
15575,170.000,0.000
15576,171.000,0.000
15577,172.000,0.000
15578,173.000,0.000
15579,173.000,0.000
15580,173.000,0.000
15581,173.000,0.000
15582,172.000,0.000
15583,171.000,0.000
15584,171.000,0.000
15585,171.000,0.000
15586,172.000,0.000
15587,172.000,0.000
15588,173.000,0.000
15589,173.000,0.000
15590,172.000,0.000
15591,171.000,0.000
15592,170.000,0.000
15593,171.000,0.000
15594,171.000,0.000
15595,172.000,0.000
15596,172.000,0.000
15597,172.000,0.000
15598,172.000,0.000
15599,171.000,0.000
15600,170.000,0.000
15601,170.000,0.000
15602,171.000,0.000
15603,171.000,0.000
15604,172.000,0.000
15605,173.000,0.000
15606,173.000,0.000
15607,172.000,0.000
15608,171.000,0.000
15609,171.000,0.000
15610,171.000,0.000
15611,171.000,0.000
15612,172.000,0.000
15613,173.000,0.000
15614,173.000,0.000
15615,172.000,0.000
15616,171.000,0.000
15617,171.000,0.000
15618,170.000,0.000
15619,170.000,0.000
15620,171.000,0.000
15621,172.000,0.000
15622,173.000,0.000
15623,172.000,0.000
15624,172.000,0.000
15625,171.000,0.000
15626,171.000,0.000
